Country Name,Country Code,Indicator Name,Indicator Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
St. Martin (French part),MAF,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Vincent and the Grenadines,VCT,Net migration,SM.POP.NETM,NA,NA,-7948,NA,NA,NA,NA,-5200,NA,NA,NA,NA,-5122,NA,NA,NA,NA,-5000,NA
Sudan,SDN,Net migration,SM.POP.NETM,NA,NA,-640000,NA,NA,NA,NA,-430000,NA,NA,NA,NA,-500000,NA,NA,NA,NA,-800000,NA
Suriname,SUR,Net migration,SM.POP.NETM,NA,NA,-5655,NA,NA,NA,NA,3,NA,NA,NA,NA,-4998,NA,NA,NA,NA,-5000,NA
Swaziland,SWZ,Net migration,SM.POP.NETM,NA,NA,-12000,NA,NA,NA,NA,-46077,NA,NA,NA,NA,-6000,NA,NA,NA,NA,-6000,NA
Sweden,SWE,Net migration,SM.POP.NETM,NA,NA,58470,NA,NA,NA,NA,141723,NA,NA,NA,NA,262453,NA,NA,NA,NA,200000,NA
Switzerland,CHE,Net migration,SM.POP.NETM,NA,NA,65218,NA,NA,NA,NA,186125,NA,NA,NA,NA,344872,NA,NA,NA,NA,320000,NA
Syrian Arab Republic,SYR,Net migration,SM.POP.NETM,NA,NA,-130000,NA,NA,NA,NA,-379910,NA,NA,NA,NA,1140716,NA,NA,NA,NA,-1500000,NA
Tajikistan,TJK,Net migration,SM.POP.NETM,NA,NA,-324793,NA,NA,NA,NA,-96542,NA,NA,NA,NA,-62356,NA,NA,NA,NA,-99999,NA
Tanzania,TZA,Net migration,SM.POP.NETM,NA,NA,-205875,NA,NA,NA,NA,-345000,NA,NA,NA,NA,-300000,NA,NA,NA,NA,-150000,NA
Thailand,THA,Net migration,SM.POP.NETM,NA,NA,595805,NA,NA,NA,NA,1102862,NA,NA,NA,NA,-710068,NA,NA,NA,NA,100000,NA
Timor-Leste,TMP,Net migration,SM.POP.NETM,NA,NA,-162210,NA,NA,NA,NA,0,NA,NA,NA,NA,-74895,NA,NA,NA,NA,-75000,NA
Togo,TGO,Net migration,SM.POP.NETM,NA,NA,-30000,NA,NA,NA,NA,-9994,NA,NA,NA,NA,-9994,NA,NA,NA,NA,-9994,NA
Tonga,TON,Net migration,SM.POP.NETM,NA,NA,-8701,NA,NA,NA,NA,-8129,NA,NA,NA,NA,-8196,NA,NA,NA,NA,-8078,NA
Trinidad and Tobago,TTO,Net migration,SM.POP.NETM,NA,NA,-32545,NA,NA,NA,NA,-13159,NA,NA,NA,NA,-11303,NA,NA,NA,NA,-15000,NA
Tunisia,TUN,Net migration,SM.POP.NETM,NA,NA,-53050,NA,NA,NA,NA,-71377,NA,NA,NA,NA,-32941,NA,NA,NA,NA,-32941,NA
Turkey,TUR,Net migration,SM.POP.NETM,NA,NA,-149998,NA,NA,NA,NA,-100002,NA,NA,NA,NA,-50000,NA,NA,NA,NA,350000,NA
Turkmenistan,TKM,Net migration,SM.POP.NETM,NA,NA,-60324,NA,NA,NA,NA,-114454,NA,NA,NA,NA,-57048,NA,NA,NA,NA,-24998,NA
Turks and Caicos Islands,TCA,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,TUV,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,UGA,Net migration,SM.POP.NETM,NA,NA,-45737,NA,NA,NA,NA,-5000,NA,NA,NA,NA,-135000,NA,NA,NA,NA,-150000,NA
Ukraine,UKR,Net migration,SM.POP.NETM,NA,NA,-462264,NA,NA,NA,NA,-165445,NA,NA,NA,NA,235195,NA,NA,NA,NA,-40006,NA
United Arab Emirates,ARE,Net migration,SM.POP.NETM,NA,NA,464455,NA,NA,NA,NA,863784,NA,NA,NA,NA,3812193,NA,NA,NA,NA,514042,NA
United Kingdom,GBR,Net migration,SM.POP.NETM,NA,NA,498998,NA,NA,NA,NA,968350,NA,NA,NA,NA,840371,NA,NA,NA,NA,900000,NA
United States,USA,Net migration,SM.POP.NETM,NA,NA,8469347,NA,NA,NA,NA,5322320,NA,NA,NA,NA,5224810,NA,NA,NA,NA,5000002,NA
Uruguay,URY,Net migration,SM.POP.NETM,NA,NA,-26000,NA,NA,NA,NA,-104000,NA,NA,NA,NA,-50000,NA,NA,NA,NA,-30000,NA
Uzbekistan,UZB,Net migration,SM.POP.NETM,NA,NA,-374203,NA,NA,NA,NA,-779620,NA,NA,NA,NA,-443424,NA,NA,NA,NA,-200000,NA
Vanuatu,VUT,Net migration,SM.POP.NETM,NA,NA,-7087,NA,NA,NA,NA,-502,NA,NA,NA,NA,1135,NA,NA,NA,NA,0,NA
"Venezuela, RB",VEN,Net migration,SM.POP.NETM,NA,NA,40000,NA,NA,NA,NA,40000,NA,NA,NA,NA,40000,NA,NA,NA,NA,40000,NA
Vietnam,VNM,Net migration,SM.POP.NETM,NA,NA,-323425,NA,NA,NA,NA,-772336,NA,NA,NA,NA,-877681,NA,NA,NA,NA,-200002,NA
Virgin Islands (U.S.),VIR,Net migration,SM.POP.NETM,NA,NA,-3936,NA,NA,NA,NA,-5272,NA,NA,NA,NA,-6191,NA,NA,NA,NA,-3604,NA
West Bank and Gaza,WBG,Net migration,SM.POP.NETM,NA,NA,70000,NA,NA,NA,NA,-190000,NA,NA,NA,NA,-90000,NA,NA,NA,NA,-43750,NA
"Yemen, Rep.",YEM,Net migration,SM.POP.NETM,NA,NA,-100000,NA,NA,NA,NA,-100000,NA,NA,NA,NA,-135000,NA,NA,NA,NA,-135000,NA
Zambia,ZMB,Net migration,SM.POP.NETM,NA,NA,83483,NA,NA,NA,NA,-81713,NA,NA,NA,NA,-85000,NA,NA,NA,NA,-40000,NA
Zimbabwe,ZWE,Net migration,SM.POP.NETM,NA,NA,-200000,NA,NA,NA,NA,-700000,NA,NA,NA,NA,-800000,NA,NA,NA,NA,400000,NA
